idx,phi_re,phi_im,psi_re,psi_im
357,-0.336144,0.393645,-0.760463,-0.649381
358,-0.305995,0.417512,-0.806571,-0.591138
359,-0.274158,0.439075,-0.848228,-0.529632
360,-0.240807,0.458215,-0.885204,-0.465203
361,-0.206128,0.474827,-0.917295,-0.398208
362,-0.170311,0.488818,-0.944325,-0.329015
363,-0.133554,0.500112,-0.966143,-0.258007
364,-0.096060,0.508647,-0.982630,-0.185575
365,-0.058037,0.514374,-0.993695,-0.112118
366,-0.019693,0.517263,-0.999276,-0.038043
367,0.018760,0.517298,-0.999343,0.036241
368,0.057109,0.514478,-0.993895,0.110326
369,0.095143,0.508819,-0.982963,0.183802
370,0.132652,0.500352,-0.966607,0.256264
371,0.169429,0.489125,-0.944916,0.327312
372,0.205271,0.475198,-0.918012,0.396553
373,0.239980,0.458649,-0.886041,0.463607
374,0.273365,0.439569,-0.849181,0.528102
375,0.305242,0.418063,-0.807635,0.589682
376,0.335434,0.394250,-0.761633,0.648009
377,0.363775,0.368262,-0.711427,0.702760
378,0.390109,0.340241,-0.657296,0.753633
379,0.414290,0.310343,-0.599537,0.800347
380,0.436185,0.278733,-0.538471,0.842644
381,0.455673,0.245584,-0.474432,0.880292
382,0.472646,0.211080,-0.407776,0.913082
383,0.487011,0.175412,-0.338870,0.940833
384,0.498689,0.138775,-0.268093,0.963393
385,0.507615,0.101373,-0.195837,0.980636
386,0.513739,0.063411,-0.122501,0.992468
387,0.517029,0.025099,-0.048488,0.998824
388,0.517466,-0.013351,0.025792,0.999667
389,0.515047,-0.051727,0.099930,0.994994
390,0.509786,-0.089819,0.173516,0.984831
391,0.501712,-0.127414,0.246145,0.969233
392,0.490869,-0.164306,0.317415,0.948287
393,0.477318,-0.200292,0.386934,0.922107
394,0.461132,-0.235172,0.454318,0.890839
395,0.442402,-0.268755,0.519195,0.854656
396,0.421231,-0.300855,0.581207,0.813756
397,0.397735,-0.331294,0.640011,0.768366
398,0.372045,-0.359905,0.695284,0.718735
399,0.344301,-0.386531,0.746720,0.665139
400,0.314658,-0.411023,0.794035,0.607872
401,0.283278,-0.433247,0.836969,0.547251
402,0.250335,-0.453080,0.875284,0.483609
403,0.216010,-0.470413,0.908769,0.417300
404,0.180494,-0.485151,0.937239,0.348687
405,0.143981,-0.497211,0.960538,0.278150
406,0.106674,-0.506527,0.978535,0.206079
407,0.068778,-0.513048,0.991134,0.132870
408,0.030503,-0.516739,0.998262,0.058928
