x,y,psi2
-19.7995,-10.0836,0.0146838
-19.7995,-9.98328,0.0111621
-19.7995,-9.88294,0.00641933
-19.7995,-9.78261,0.00440978
-19.7995,-9.68227,0.00361631
-19.7995,-9.58194,0.00471106
-19.7995,-9.48161,0.00727894
-19.7995,-9.38127,0.012213
-19.7995,-9.28094,0.0193112
-19.7995,-9.1806,0.0282925
-19.7995,-9.08027,0.039552
-19.7995,-8.97993,0.0527935
-19.7995,-8.8796,0.0679798
-19.7995,-8.77926,0.0847848
-19.7995,-8.67893,0.103241
-19.7995,-8.5786,0.122838
-19.7995,-8.47826,0.142944
-19.7995,-8.37793,0.163631
-19.7995,-8.27759,0.183917
-19.7995,-8.17726,0.203527
-19.7995,-8.07692,0.221893
-19.7995,-7.97659,0.238324
-19.7995,-7.87625,0.252433
-19.7995,-7.77592,0.263684
-19.7995,-7.67559,0.271676
-19.7995,-7.57525,0.276047
-19.7995,-7.47492,0.276613
-19.7995,-7.37458,0.273239
-19.7995,-7.27425,0.26596
-19.7995,-7.17391,0.254907
-19.7995,-7.07358,0.240377
-19.7995,-6.97324,0.222778
-19.7995,-6.87291,0.20263
-19.7995,-6.77258,0.180575
-19.7995,-6.67224,0.157344
-19.7995,-6.57191,0.133747
-19.7995,-6.47157,0.11064
-19.7995,-6.37124,0.0889042
-19.7995,-6.2709,0.0694106
-19.7995,-6.17057,0.0529829
-19.7995,-6.07023,0.0403619
-19.7995,-5.9699,0.0321663
-19.7995,-5.86957,0.0288572
-19.7995,-5.76923,0.030708
-19.7995,-5.6689,0.0377856
-19.7995,-5.56856,0.0499371
-19.7995,-5.46823,0.0667735
-19.7995,-5.36789,0.0877185
-19.7995,-5.26756,0.111968
-19.7995,-5.16722,0.138585
-19.7995,-5.06689,0.166494
-19.7995,-4.96656,0.194526
-19.7995,-4.86622,0.221494
-19.7995,-4.76589,0.246212
-19.7995,-4.66555,0.267569
-19.7995,-4.56522,0.284577
-19.7995,-4.46488,0.296409
-19.7995,-4.36455,0.302451
-19.7995,-4.26421,0.302336
-19.7995,-4.16388,0.295977
-19.7995,-4.06355,0.283575
-19.7995,-3.96321,0.265624
-19.7995,-3.86288,0.242892
-19.7995,-3.76254,0.216389
-19.7995,-3.66221,0.187319
-19.7995,-3.56187,0.157009
-19.7995,-3.46154,0.12684
-19.7995,-3.3612,0.0981568
-19.7995,-3.26087,0.0721858
-19.7995,-3.16054,0.0499625
-19.7995,-3.0602,0.0322613
-19.7995,-2.95987,0.0195481
-19.7995,-2.85953,0.0119535
-19.7995,-2.7592,0.00927219
-19.7995,-2.65886,0.0109851
-19.7995,-2.55853,0.0163059
-19.7995,-2.45819,0.0242477
-19.7995,-2.35786,0.0337058
-19.7995,-2.25753,0.0435446
-19.7995,-2.15719,0.0526895
-19.7995,-2.05686,0.0602064
-19.7995,-1.95652,0.0653716
-19.7995,-1.85619,0.0677304
-19.7995,-1.75585,0.0670974
-19.7995,-1.65552,0.0635824
-19.7995,-1.55518,0.0575493
-19.7995,-1.45485,0.0495779
-19.7995,-1.35452,0.0404031
-19.7995,-1.25418,0.0308487
-19.7995,-1.15385,0.0217625
-19.7995,-1.05351,0.0139605
-19.7995,-0.953177,0.00818305
-19.7995,-0.852843,0.0050715
-19.7995,-0.752508,0.00515941
-19.7995,-0.652174,0.0088781
-19.7995,-0.551839,0.0196283
-19.7995,-0.451505,0.0299951
-19.7995,-0.351171,0.046595
-19.7995,-0.250836,0.0643121
-19.7995,-0.150502,0.0935558
-19.7995,-0.0501672,0.118186
-19.7995,0.0501672,0.160134
-19.7995,0.150502,0.185903
-19.7995,0.250836,0.234644
